account_id,initial_risk_category,kyc_documentation_completeness,onboarding_channel,onboarding_device_id,opened_at
A00000,normal_risk_cdd,0.7620860347527566,app,DEV000000,2022-04-05
A00001,normal_risk_cdd,0.8066948515651481,branch,DEV000001,2021-12-08
A00002,normal_risk_cdd,0.871760088550655,app,DEV000002,2023-06-17
A00003,normal_risk_cdd,0.7997344011689269,app,DEV000003,2022-04-01
A00004,lower_risk_sdd,0.6277306847759121,branch,DEV000004,2023-10-11
A00005,higher_risk_edd,0.985308695402396,app,DEV000005,2025-10-14
A00006,normal_risk_cdd,0.8220981855038958,app,DEV000006,2022-05-28
A00007,normal_risk_cdd,0.868084767128162,app,DEV000007,2023-10-15
A00008,lower_risk_sdd,0.7774182764815655,app,DEV000008,2025-09-29
A00009,normal_risk_cdd,0.8362512960810402,app,DEV000009,2025-08-28
A00010,normal_risk_cdd,0.9443470247775364,app,DEV000010,2023-01-04
A00011,higher_risk_edd,0.9947496053845886,app,DEV000011,2022-03-15
A00012,normal_risk_cdd,0.7326206405210587,app,DEV000012,2023-02-11
A00013,normal_risk_cdd,0.7618290376589181,app,DEV000013,2024-02-22
A00014,normal_risk_cdd,0.7833123293544083,app,DEV000014,2024-09-07
A00015,normal_risk_cdd,0.7816132066453773,partner_institution,DEV000015,2024-03-27
A00016,normal_risk_cdd,0.8427768203114548,app,DEV000016,2024-08-15
A00017,lower_risk_sdd,0.6991715238465458,app,DEV000017,2024-10-27
A00018,normal_risk_cdd,0.9504126733363778,branch,DEV000018,2025-05-28
A00019,normal_risk_cdd,0.8746540070980066,app,DEV000019,2023-08-19
A00020,normal_risk_cdd,0.8143456355157432,app,DEV000020,2025-01-15
A00021,normal_risk_cdd,0.68342070050961,branch,DEV000021,2025-05-03
A00022,higher_risk_edd,0.955647166033387,app,DEV000022,2024-10-23
A00023,normal_risk_cdd,0.8520616154955993,app,DEV000023,2022-09-15
A00024,normal_risk_cdd,0.8646343002831166,app,DEV000024,2023-08-13
A00025,normal_risk_cdd,1.0,app,DEV000025,2023-12-11
