account_id,initial_risk_category,kyc_documentation_completeness,max_7d_inflow_count,avg_7d_inflow_amount,total_inflows,total_inflow_amount,avg_hours_to_outflow,fast_pairs,counterparty_link_count,device_link_count,high_risk_country_share,is_lower_risk,label,is_near_miss,rf_proba,iso_score
A00000,normal_risk_cdd,0.7620860347527566,8.0,927.0402507002802,68,66230.37000000001,24.0,0,130,0,0.0,0,0,0,0.0,0.4472307689918085
A00001,normal_risk_cdd,0.8066948515651481,6.0,970.061238095238,28,27232.05,24.0,0,60,0,0.0,0,0,0,0.0,0.38948727645121495
A00002,normal_risk_cdd,0.871760088550655,8.0,957.5414574253432,59,53850.69,24.0,0,127,0,0.0,0,0,0,0.0,0.4045264247148848
A00003,normal_risk_cdd,0.7997344011689269,6.0,1347.345520325203,41,51189.89,24.0,0,79,0,0.0,0,0,0,0.0,0.41121691126597115
A00004,lower_risk_sdd,0.6277306847759121,7.0,1003.1928128654972,57,55644.86,24.0,0,124,0,0.0,1,0,0,0.0,0.4940148656062082
A00005,higher_risk_edd,0.985308695402396,7.0,1112.7528636363636,22,23905.879999999994,24.0,0,48,0,0.0,0,0,0,0.0,0.4389863861446819
A00006,normal_risk_cdd,0.8220981855038958,7.0,1302.353932142857,60,77399.02,24.0,0,117,0,0.0,0,0,0,0.0,0.42551626729497305
A00007,normal_risk_cdd,0.868084767128162,7.0,880.7173940886698,58,51748.04,24.0,0,128,0,0.0,0,0,0,0.0,0.4218652989676969
A00008,lower_risk_sdd,0.7774182764815655,8.0,1048.6416374663074,53,53709.73999999999,24.0,0,92,0,0.0,1,0,0,0.0,0.4713901947647372
A00009,normal_risk_cdd,0.8362512960810402,5.0,1312.304594202899,23,29276.17,24.0,0,54,0,0.0,0,0,0,0.0,0.4115172765597919
A00010,normal_risk_cdd,0.9443470247775364,7.0,936.883308080808,33,32558.039999999997,24.0,0,63,0,0.0,0,0,0,0.0,0.40634691749288876
A00011,higher_risk_edd,0.9947496053845886,5.0,854.5174133333334,25,21474.16,24.0,0,38,0,0.0,0,0,0,0.0,0.4479667824872956
A00012,normal_risk_cdd,0.7326206405210587,6.0,670.6116231884057,23,16081.71,24.0,0,40,0,0.0,0,0,0,0.0,0.46371722835011603
A00013,normal_risk_cdd,0.7618290376589181,6.0,859.1695591397848,31,30728.01,24.0,0,61,0,0.0,0,0,0,0.0,0.4037572369841515
A00014,normal_risk_cdd,0.7833123293544083,9.0,936.6307451690822,69,66222.94,24.0,0,127,0,0.0,0,0,0,0.0,0.43442641707627044
A00015,normal_risk_cdd,0.7816132066453773,6.0,908.7387958333333,40,37941.130000000005,24.0,0,86,0,0.0,0,0,0,0.0,0.39600297041194427
A00016,normal_risk_cdd,0.8427768203114548,7.0,1637.771048051948,55,82684.88,24.0,0,95,0,0.0,0,0,0,0.0,0.47313325189931327
A00017,lower_risk_sdd,0.6991715238465458,8.0,1307.2852922998986,47,82433.75999999998,24.0,0,85,0,0.0,1,0,0,0.0,0.507797168738376
A00018,normal_risk_cdd,0.9504126733363778,9.0,1640.263939550265,60,94047.53,24.0,0,116,0,0.0,0,0,0,0.0,0.5031741905856567
A00019,normal_risk_cdd,0.8746540070980066,10.0,903.5753763888888,60,56839.97,24.0,0,119,0,0.0,0,0,0,0.0,0.43831285394275715
A00020,normal_risk_cdd,0.8143456355157432,5.0,1989.438238095238,28,51733.62,24.0,0,56,0,0.0,0,0,0,0.0,0.49142854347867543
A00021,normal_risk_cdd,0.68342070050961,5.0,1105.8460322580645,31,33478.15999999999,24.0,0,53,0,0.0,0,0,0,0.0,0.42704803452430434
A00022,higher_risk_edd,0.955647166033387,8.0,1077.4259782608694,46,51585.64,24.0,0,107,0,0.0,0,0,0,0.0,0.39701860878782497
A00023,normal_risk_cdd,0.8520616154955993,8.0,1220.062299532313,56,81054.28,24.0,0,97,0,0.0,0,0,0,0.0,0.42502333946073473
A00024,normal_risk_cdd,0.8646343002831166,4.0,1002.2609583333332,20,22852.5,24.0,0,44,0,0.0,0,0,0,0.0,0.41354737840997413
A00025,normal_risk_cdd,1.0,4.0,1192.0029166666668,18,20959.6,24.0,0,31,0,0.0,0,0,0,0.0,0.4706787150450917
A00026,normal_risk_cdd,0.9492477236954456,7.0,1316.182252857143,50,63431.98,24.0,0,105,0,0.0,0,0,0,0.0,0.410092084203316
A00027,lower_risk_sdd,0.7128048734599989,6.0,1768.5279087301583,42,81342.05000000002,24.0,0,104,0,0.0,1,0,0,0.0,0.5606262609806776
A00028,normal_risk_cdd,0.773033829594272,5.0,1559.0110980392155,34,43714.969999999994,24.0,0,71,0,0.0,0,0,0,0.0,0.44462013222804275
A00029,normal_risk_cdd,0.8089604200642605,6.0,1301.20328125,32,49955.09,24.0,0,74,0,0.0,0,0,0,0.0,0.4084865020130654
A00030,normal_risk_cdd,0.8424124314457198,5.0,833.5134567901235,27,24718.54,24.0,0,47,0,0.0,0,0,0,0.0,0.40500899730863116
A00031,higher_risk_edd,0.8879674300791717,8.0,1019.340443262411,47,43884.740000000005,24.0,0,99,0,0.0,0,0,0,0.0,0.3867985744699321
A00032,normal_risk_cdd,0.8900371619988094,7.0,1086.9992137998058,49,54447.4,24.0,0,101,0,0.0,0,0,0,0.0,0.3795782299678803
A00033,normal_risk_cdd,0.8785527079372564,9.0,1234.1593110290096,58,66222.48999999999,24.0,0,125,0,0.0,0,0,0,0.0,0.40922648503632064
A00034,normal_risk_cdd,0.7629353765556246,4.0,1333.4444565217395,23,25435.730000000007,24.0,0,50,0,0.0,0,0,0,0.0,0.43277427900438176
A00035,normal_risk_cdd,0.94574533672769,9.0,1187.8112066753642,73,84326.04,24.0,0,135,0,0.0,0,0,0,0.0,0.4937481801665072
A00036,lower_risk_sdd,0.6581848267047088,8.0,871.7092683450429,61,54412.73,24.0,0,121,0,0.0,1,0,0,0.0,0.48852904039060446
A00037,normal_risk_cdd,0.7116743082606198,9.0,859.1542423154449,63,56161.19,24.0,0,135,0,0.0,0,0,0,0.0,0.4631028035760904
A00038,normal_risk_cdd,0.8458925713324025,6.0,1159.944276190476,35,37848.06,24.0,0,66,0,0.0,0,0,0,0.0,0.3866802324914435
A00039,normal_risk_cdd,0.8724965164738324,6.0,989.7896388888888,36,36685.27,24.0,0,74,0,0.0,0,0,0,0.0,0.3832557298840832
A00040,normal_risk_cdd,0.9278233889148592,8.0,1406.2998668154762,48,67498.25,24.0,0,96,0,0.0,0,0,0,0.0,0.41412688295799643
A00041,normal_risk_cdd,0.8230018877498707,7.0,2293.6425972222223,36,61567.14000000001,24.0,0,79,0,0.0,0,0,0,0.0,0.5102933713851603
A00042,normal_risk_cdd,0.9162350613957766,7.0,784.0316846846847,37,30093.81,24.0,0,85,0,0.0,0,0,0,0.0,0.40812073930547
A00043,normal_risk_cdd,0.8649713589416173,8.0,930.2831750321752,37,34327.810000000005,24.0,0,76,0,0.0,0,0,0,0.0,0.39799241278683234
A00044,normal_risk_cdd,0.7447956312769937,8.0,1129.9317594752188,49,53326.23,24.0,0,102,0,0.0,0,0,0,0.0,0.39616509309801634
A00045,normal_risk_cdd,0.7367866581213989,9.0,712.4563250128008,31,23776.35,24.0,0,66,0,0.0,0,0,0,0.0,0.45793305140717366
A00046,normal_risk_cdd,0.939804789611948,8.0,1342.0144996392496,33,47170.77,24.0,0,69,0,0.0,0,0,0,0.0,0.4252396601418519
A00047,normal_risk_cdd,0.9456787342705416,6.0,2298.6636319444447,24,46309.259999999995,24.0,0,44,0,0.0,0,0,0,0.0,0.529531814428856
A00048,normal_risk_cdd,0.8758327384323779,8.0,1444.3032385204085,56,79265.6,24.0,0,132,0,0.0,0,0,0,0.0,0.4589051574976322
A00049,lower_risk_sdd,0.7696565376944023,9.0,1174.039387913089,61,74462.22,24.0,0,126,0,0.0,1,0,0,0.0,0.5085602850249873
A00050,normal_risk_cdd,0.9345287879233284,6.0,1315.0772790697674,43,57531.27,24.0,0,99,0,0.0,0,0,0,0.0,0.4169558812872851
A00051,lower_risk_sdd,0.7046902983583777,7.0,1094.4853432539685,36,38783.39000000001,24.0,0,85,0,0.0,1,0,0,0.0,0.46538557793406643
A00052,normal_risk_cdd,0.7770950809013062,9.0,1300.052773313492,64,88228.11000000002,24.0,0,114,0,0.0,0,0,0,0.0,0.4465311286362688
A00053,normal_risk_cdd,0.9885143000825874,4.0,1958.8551041666667,16,33725.93,24.0,0,38,0,0.0,0,0,0,0.0,0.5317594229172667
A00054,normal_risk_cdd,0.8929041145766619,6.0,1079.4615487804876,41,38253.1,24.0,0,89,0,0.0,0,0,0,0.0,0.3862761931487727
A00055,normal_risk_cdd,0.8191328980310703,6.0,1171.4516489361702,47,58494.3,24.0,0,116,0,0.0,0,0,0,0.0,0.41622291382944887
A00056,normal_risk_cdd,0.7965383995755762,9.0,981.0554223602484,46,48559.38,24.0,0,76,0,0.0,0,0,0,0.0,0.40100199879842974
A00057,normal_risk_cdd,0.8705427025211085,7.0,1014.7901937728936,65,58594.08000000001,24.0,0,131,0,0.0,0,0,0,0.0,0.42925310348769485
A00058,lower_risk_sdd,0.5163152732129236,8.0,784.8273500744049,32,28517.71,24.0,0,62,0,0.0,1,0,0,0.0,0.5283947432494244
A00059,lower_risk_sdd,0.705973862028229,5.0,1174.9897456140352,19,25106.51,24.0,0,36,0,0.0,1,0,0,0.0,0.5017240644300681
A00060,normal_risk_cdd,0.7737143348244778,4.0,1015.8961458333332,16,18670.86,999.0,0,29,0,0.0,0,0,0,0.0,0.598852023969555
A00061,normal_risk_cdd,0.879648648705943,5.0,925.9156111111112,21,22514.03,24.0,0,51,0,0.0,0,0,0,0.0,0.4073781956704129
A00062,normal_risk_cdd,0.8082703730113472,6.0,1274.5393285714283,35,42623.35999999999,24.0,0,81,0,0.0,0,0,0,0.0,0.40185204118984436
A00063,normal_risk_cdd,0.8288465029820237,6.0,946.8973392857145,28,26939.17,24.0,0,60,0,0.0,0,0,0,0.0,0.3918933035352389
A00064,normal_risk_cdd,0.7894472101787948,4.0,1049.4976315789474,19,22075.970000000005,24.0,0,44,0,0.0,0,0,0,0.0,0.4208961093877582
A00065,normal_risk_cdd,0.8371016455055359,8.0,679.2982833914052,41,29654.590000000004,24.0,0,66,0,0.0,0,0,0,0.0,0.43737279056877004
A00066,normal_risk_cdd,1.0,9.0,1110.175225483801,73,75381.48,24.0,0,132,0,0.0,0,0,0,0.0,0.48723186656447715
A00067,normal_risk_cdd,0.9608047701638912,7.0,2869.047462585034,42,136351.18,24.0,0,81,0,0.0,0,0,0,0.0,0.6069416163589172
A00068,lower_risk_sdd,0.6783583163996365,6.0,1316.2719404761908,42,55876.02,24.0,0,88,0,0.0,1,0,0,0.0,0.4876026742597402
A00069,normal_risk_cdd,0.8479764587548038,3.0,954.4425555555556,15,14930.52,24.0,0,40,0,0.0,0,0,0,0.0,0.4659518990681828
A00070,normal_risk_cdd,0.9175360952554308,8.0,892.7830779883382,49,42063.19,24.0,0,87,0,0.0,0,0,0,0.0,0.3957365113999785
A00071,normal_risk_cdd,0.9403976315286044,7.0,1273.107393650794,45,50353.09999999999,24.0,0,100,0,0.0,0,0,0,0.0,0.3978985974935821
A00072,normal_risk_cdd,0.7836145294233976,8.0,1267.1269903846153,52,60120.64,24.0,0,97,0,0.0,0,0,0,0.0,0.3928923163942432
A00073,normal_risk_cdd,0.8438048905894238,6.0,1159.0189166666664,20,19564.199999999997,24.0,0,34,0,0.0,0,0,0,0.0,0.42347486683204694
A00074,lower_risk_sdd,0.5042433416345536,7.0,1001.0362123809524,50,44845.51,24.0,0,97,0,0.0,1,0,0,0.0,0.5091990296198108
A00075,normal_risk_cdd,0.9398481688208716,8.0,959.634686147186,44,41416.02,24.0,0,92,0,0.0,0,0,0,0.0,0.3975692952027231
A00076,normal_risk_cdd,1.0,5.0,900.3177678571429,28,28444.44,24.0,0,46,0,0.0,0,0,0,0.0,0.4354851248342578
A00077,normal_risk_cdd,0.8564066099698469,3.0,1525.5090476190476,14,22153.17,999.0,0,27,0,0.0,0,0,0,0.0,0.630495577675257
A00078,normal_risk_cdd,0.6799991900077587,4.0,887.1545416666665,20,17171.6,24.0,0,36,0,0.0,0,0,0,0.0,0.4643455370509528
A00079,normal_risk_cdd,0.8987112413261624,6.0,753.036063218391,29,20349.950000000004,24.0,0,55,0,0.0,0,0,0,0.0,0.416541157104931
A00080,normal_risk_cdd,0.7776728667080736,5.0,1134.5936666666669,21,26858.19,24.0,0,50,0,0.0,0,0,0,0.0,0.4101733459773472
A00081,normal_risk_cdd,0.7969320446668432,8.0,990.4880139751548,46,44822.62999999999,24.0,0,82,0,0.0,0,0,0,0.0,0.3869032195428126
A00082,normal_risk_cdd,0.9001261111832802,7.0,1581.1798036929056,49,74949.12999999999,24.0,0,100,0,0.0,0,0,0,0.0,0.45048721596729446
A00083,normal_risk_cdd,0.8703643300410179,9.0,1290.3095215608466,60,82196.72000000002,24.0,0,111,0,0.0,0,0,0,0.0,0.4227377245104704
A00084,lower_risk_sdd,0.6109512979729119,5.0,646.3562738095237,28,18625.23,24.0,0,62,0,0.0,1,0,0,0.0,0.5280119838896054
A00085,lower_risk_sdd,0.5980315493918669,6.0,644.548456521739,46,31471.56,24.0,0,88,0,0.0,1,0,0,0.0,0.5231067225024572
A00086,normal_risk_cdd,0.8600668844176665,8.0,973.9843380574454,63,61650.6,24.0,0,123,0,0.0,0,0,0,0.0,0.40527371447611193
A00087,normal_risk_cdd,0.8172427557990106,7.0,706.9463525835868,47,36376.42,24.0,0,99,0,0.0,0,0,0,0.0,0.4157346260877131
A00088,normal_risk_cdd,0.7612610293117594,5.0,843.0479901960784,17,16223.830000000002,24.0,0,33,0,0.0,0,0,0,0.0,0.44553606606671975
A00089,normal_risk_cdd,0.8233949454817312,5.0,992.486798245614,19,22001.42,24.0,0,37,0,0.0,0,0,0,0.0,0.4140728694709084
A00090,normal_risk_cdd,0.8771674098604147,5.0,714.7192222222224,21,16935.219999999998,24.0,0,31,0,0.0,0,0,0,0.0,0.4387018341535285
A00091,normal_risk_cdd,0.8357517226544293,6.0,1078.310126262626,33,41757.08,24.0,0,67,0,0.0,0,0,0,0.0,0.3864983248099694
A00092,normal_risk_cdd,0.7369193121401452,6.0,954.3615398550724,46,45910.81,24.0,0,79,0,0.0,0,0,0,0.0,0.4077052726623624
A00093,normal_risk_cdd,0.9291251697100432,5.0,1627.0194649122805,19,29671.070000000003,24.0,0,40,0,0.0,0,0,0,0.0,0.4562983067902705
A00094,normal_risk_cdd,0.6308950850445333,8.0,1072.4866690085871,61,66842.56000000001,24.0,0,122,0,0.0,0,0,0,0.0,0.4479328377683292
A00095,normal_risk_cdd,0.8142907875977251,8.0,1212.1751210937498,64,90764.24,24.0,0,139,0,0.0,0,0,0,0.0,0.47558329589908743
A00096,normal_risk_cdd,0.8003841236356867,9.0,912.4723244315744,37,36458.42999999999,24.0,0,76,0,0.0,0,0,0,0.0,0.41552304209165836
A00097,lower_risk_sdd,0.6618543102297132,5.0,1670.1245083333336,20,27455.070000000003,24.0,0,33,0,0.0,1,0,0,0.0,0.5479055572395859
A00098,lower_risk_sdd,0.6949329446242188,11.0,1007.8058776872844,59,59976.35,24.0,0,124,0,0.0,1,0,0,0.0,0.525474590825046
